ALW,Walla Walla Regional Airport,-118.288,46.0949
ALX,Alexandria,-77.0621,38.806346
ALY,Alexandria Intl,29.948889,31.183903
ALZ,Alitak Seaplane Base,-154.247778,56.899444
AMA,Rick Husband Amarillo Intl,-101.705931,35.219369
AMB,Ambilobe,48.987978,-13.188431
AMC,Am Timan Airport,20.274,11.034
AMD,Ahmedabad,72.63465,23.077242
AMH,Arba Minch,37.590453,6.039389
AMI,Selaparang,116.094656,-8.560708
AMM,Queen Alia Intl,35.993214,31.722556
AMQ,Pattimura,128.089136,-3.710264
AMS,Schiphol,4.763889,52.308613
AMV,Amderma Airport,61.5564,69.7633
AMY,Ambatomainty Airport,47.1833,-17.1667
ANB,Anniston Metro,-85.858111,33.588167
ANC,Ted Stevens Anchorage Intl,-149.996361,61.174361
AND,Anderson Rgnl,-82.709389,34.494583
ANE,Angers-Loire Airport,-0.312222,47.5603
ANF,Cerro Moreno Intl,-70.4451,-23.444478
ANG,Brie Champniers,0.221456,45.729247
ANI,Aniak Airport,-159.543,61.5816
ANK,Etimesgut,32.688622,39.949831
ANM,Antsirabato,50.320233,-14.999411
ANN,Annette Island,-131.572233,55.042436
ANR,Deurne,4.460278,51.189444
ANS,Andahuaylas,-73.350378,-13.706408
ANU,V C Bird Intl,-61.792667,17.136749
ANV,Anvik Airport,-160.191,62.6467
ANX,Andenes,16.144167,69.2925
AOC,Altenburg Nobitz,12.506361,50.981817
AOE,Anadolu Airport,30.519378,39.809858
AOI,Falconara,13.362222,43.616389
AOJ,Aomori,140.690833,40.734722
AOK,Karpathos,27.146008,35.421408
AOL,Paso De Los Libres,-57.152078,-29.689425
AOO,Altoona Blair Co,-78.320022,40.296372
AOR,Sultan Abdul Halim,100.398183,6.189667
AOS,Amook Bay Seaplane Base,-153.815278,57.471389
AOT,Aosta Airport,7.368719,45.738456
APA,Centennial,-104.849294,39.570129
APC,Napa County Airport,-122.2806944,38.2131944
APF,Naples Muni,-81.775294,26.152619
APG,Phillips Aaf,-76.168808,39.466219
APK,Apataki Airport,-146.415,-15.5736
APL,Nampula,39.2818,-15.105611
APN,Alpena County Regional Airport,-83.5603,45.0781
APO,Apartadó Airport,-77.2,7.033
APW,Faleolo Intl,-172.008336,-13.829969
APZ,ZAPALA,-70.113581,-38.9755
AQA,Araraquara,-48.133028,-21.812
AQC,Klawock Seaplane Base,-133.101693,55.554658
AQG,Anqing Airport,117.0502,30.5822
AQI,Qaisumah,46.125069,28.335192
AQJ,Aqaba King Hussein Intl,35.018067,29.611619
AQP,Rodriguez Ballon,-71.583083,-16.341072
ARA,Acadiana Rgnl,-91.883896,30.037758
ARC,Arctic Village Airport,-145.579,68.1147
ARD,Mali Airport,124.597,-8.13234
ARE,Antonio Juarbe Pol Airport,-66.675556,18.451111
ARH,Talagi,40.430167,64.360281
ARI,Chacalluta,-70.338742,-18.348531
ARK,Arusha,36.633333,-3.367794
ARM,Armidale,151.617222,-30.528056
ARN,Arlanda,17.918611,59.651944
ARR,Alto Rio Senguer Airport,-70.816667,-45.016667
ART,Watertown Intl,-76.021739,43.991922
ARU,Aracatuba,-50.424722,-21.141342
ARV,Lakeland,-89.730833,45.927778
ARW,Arad,21.262022,46.17655
ASA,Assab Intl,42.645006,13.071783
ASB,Ashgabat,58.360967,37.986814
ASD,Fresh Creek,-77.795611,24.698283
ASE,Aspen Pitkin County Sardy Field,-106.869,39.2232
ASF,Astrakhan,48.006278,46.283333
ASH,Boire Field Airport,-71.5147778,42.78175
ASI,Wideawake Field,-14.393664,-7.969597
ASJ,Amami,129.712542,28.430633
ASK,Yamoussoukro,-5.365581,6.903167
ASM,Asmara Intl,38.910667,15.291853
ASO,Asosa,34.586253,10.01855
ASP,Alice Springs,133.902222,-23.806667
ASR,Erkilet,35.495428,38.770386
AST,Astoria Regional Airport,-123.878694,46.157972
ASU,Silvio Pettirossi Intl,-57.519133,-25.23985
ASV,Amboseli Airport,37.2531,-2.64505
ASW,Aswan Intl,32.819975,23.964356
ATA,Comandante Fap German Arias Graziani,-77.598392,-9.347444
ATB,Atbara Airport,33.967,17.7
ATC,Arthurs Town Airport,-75.673775,24.629417
ATD,Uru Harbour Airport,161.011,-8.87333
ATF,Chachoan,-78.574636,-1.212067
ATH,Eleftherios Venizelos Intl,23.944467,37.936358
ATK,Atqasuk Edward Burnell Sr Memorial Airport,-157.436,70.4673
ATL,Hartsfield Jackson Atlanta Intl,-84.428067,33.636719
ATM,Altamira,-52.253978,-3.253906
ATP,Tadji Airport,142.43,-3.18985
ATQ,Amritsar,74.797264,31.709594
ATR,Atar,-13.043194,20.506828
ATT,Camp Mabry Austin City,-97.7666,30.31666
